DTXSID,name,httk_Fgutabs,httk_Clint,httk_Aven,httk_Rblood2plasma,httk_Fup,httk_days_evaluated,httk_MW,httk_frac_excreted,httk_daily_expo,httk_mg_p_kg_p_day_excreted,httk_result_category
DTXSID0020022,Acifluorfen,0.895,0,0.9043201,0.6436,0.0111,5,361.7,0.4004535714285714,9.86e-8,3.9484722142857146e-8,4
DTXSID0020105,Sodium L-ascorbate,0.8719,0,0.00314579399999999,0.7498,0.806,5,198.1,0.87164,0.0508,0.04427931199999999,6
DTXSID0020107,Aspartame,0.8719,0,0.010688811,0.7325,0.5548,5,294.3,0.8736505714285713,2.24e-6,1.95697728e-6,6
DTXSID0020232,Caffeine,1,0.2987,0.004841155,1.08,0.9938,5,194.2,0.6630542857142855,1.76e-6,1.1669755428571423e-6,6
DTXSID0020311,Monuron,0.9648,3.449,0.004003042,0.8212,0.353,5,198.6,0.14469428571428572,6.4e-7,9.260434285714286e-8,2
DTXSID0020319,Chlorothalonil,0.8719,0,0.13099821,0.7553,0.104,5,265.9,0.33959228571428557,2.38e-7,8.082296399999997e-8,6
DTXSID0020369,Dacarbazine,0.8719,0,0.00286642299999999,0.8128,0.9998,5,182.2,0.8719571428571429,1.2e-6,1.0463485714285713e-6,6
DTXSID0020440,Dichlorprop,0.8715,2.346,0.5457301999999999,0.5648,0.008529,5,235.1,0.17430985714285713,4.38e-7,7.634771742857143e-8,2
DTXSID0020442,"2,4-Dichlorophenoxyacetic acid",0.9708,0,2.1695263,2.11,0.04,5,221,0.6885728571428572,1.87e-6,1.2876312428571431e-6,4
DTXSID0020446,Diuron,0.9631,14.98,0.0036406251,0.8696,0.1033,5,233.1,0.03859469999999998,1.08e-5,4.168227599999998e-7,1
DTXSID0020523,"2,4-Dinitrophenol",0.9727,1.294,0.3880578,0.6074,0.02723,5,184.1,0.3087619999999999,3.93e-6,1.2134346599999996e-6,2
DTXSID0020529,"2,4-Dinitrotoluene",0.8629,6.397,0.006689596,0.6282,0.09,5,182.1,0.07674214285714284,7.47e-6,5.73263807142857e-7,1
DTXSID0020573,17beta-Estradiol,0.8717,118.2,0.7990775999999999,0.5635,1e-4,5,272.4,0.00284463428571428,1.2e-6,3.413561142857143e-9,1
DTXSID0020577,Ethionamide,0.755,22.82,1.5308e-10,0.7283,0.3772,5,166.2,0.01949288571428571,1.2e-6,2.3391462857142857e-8,1
DTXSID0020604,4-Vinyl-1-cyclohexene diepoxide,0.3354,143.1,0,0.8342,0.6219,5,140.2,0.00138397428571428,7.67e-5,1.061508277142857e-7,1
DTXSID0020606,Bis(2-ethylhexyl)hexanedioate,0.8705,639,0.0734784,103,1.365e-4,5,370.6,2.454430857142858e-6,6.4899999999999e-4,1.5929256262857142e-9,1
DTXSID0020652,Gemfibrozil,0.9622,56.22,1.435125e-8,0.55,0.02986,5,250.3,0.01065562857142857,1.46e-6,1.5557217714285713e-8,1
DTXSID0020654,Geranyl acetate,0.6226,1897,3.918848e-5,0.6949,0.01174,5,196.3,2.069562857142858e-4,2.9e-4,6.00173228571429e-8,1
DTXSID0021094,"4,4'-Oxydianiline",0.8719,0,0.09506268,0.7377,0.3114,5,200.2,0.8637199999999999,1.95e-6,1.684254e-6,6
DTXSID0021125,Phenolphthalein,0.9621,51.12,1.725977e-8,0.5825,0.031,5,318.3,0.01168615714285714,1.2e-6,1.4023388571428572e-8,1
DTXSID0021179,Practolol,0.96,6.606,6.471457e-6,1.051,0.8977,5,266.3,0.0783682857142857,1.2e-6,9.404194285714285e-8,1
DTXSID0021254,Safrole,0.8675,15.97,0.014948262,0.5741,0.01762,5,162.2,0.0329266,7.8e-5,2.5682748e-6,1
